official_progress,mean_delta,median_delta,stddev,20260818T070904.964515Z-89553b85,20260818T071108.082912Z-eb0d8a30,20260818T071510.985769Z-50987091,20260818T071710.794473Z-4ce4acd1,20260818T072109.029370Z-4c725de0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
4.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
6.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
8.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
10.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
12.0,1.2434497875801752e-15,8.881784197001252e-16,2.3160859559832576e-15,8.881784197001252e-16,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
14.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
16.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
18.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
20.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
22.0,1.2434497875801752e-15,8.881784197001252e-16,2.3160859559832576e-15,8.881784197001252e-16,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
24.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
26.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
28.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
30.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
32.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
34.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
36.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
38.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
40.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
42.0,0.010000000000001386,2.6645352591003757e-15,0.02236067977499802,0.0500000000000016,-8.881784197001252e-16,2.6645352591003757e-15,-8.881784197001252e-16,4.440892098500626e-15
44.0,0.010000000000002274,3.552713678800501e-15,0.02236067977499802,0.05000000000000249,0.0,3.552713678800501e-15,0.0,5.329070518200751e-15
46.0,0.010000000000002274,3.552713678800501e-15,0.02236067977499802,0.05000000000000249,0.0,3.552713678800501e-15,0.0,5.329070518200751e-15
