distance_m,combined_delta_s,wp1232_delta_s,wp2501_delta_s,expected_additive_delta_s,interaction_s,interaction_standard_error_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
4.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
6.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
8.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
10.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
12.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
14.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
16.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
18.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
20.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
22.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
24.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
26.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
28.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
30.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
32.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
34.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
36.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
38.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
40.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
42.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
44.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
46.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
48.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
50.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
