distance_m,mean_delta_s,median_delta_s,stddev_s,20260817T075848.967340Z-b21b0cca,20260817T080045.212818Z-1a67833d,20260817T080447.012719Z-a16fa874,20260817T080645.455659Z-8094e296,20260817T081048.550838Z-7aea19b1
178.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
180.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
182.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
184.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
186.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
188.0,-1.7763568394002505e-15,-1.7763568394002505e-15,3.76822190084106e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
190.0,-1.7763568394002505e-15,-1.7763568394002505e-15,3.76822190084106e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
192.0,-1.7763568394002505e-15,-1.7763568394002505e-15,3.76822190084106e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
194.0,-7.105427357601002e-16,0.0,2.6939785314722364e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,1.7763568394002505e-15
196.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
198.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
200.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
202.0,-7.105427357601002e-16,-1.7763568394002505e-15,3.226912448288202e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
204.0,-7.105427357601002e-16,-1.7763568394002505e-15,3.226912448288202e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
206.0,-7.105427357601002e-16,-1.7763568394002505e-15,3.226912448288202e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
208.0,-1.0658141036401502e-15,-1.7763568394002505e-15,3.683531942280588e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-3.552713678800501e-15,3.552713678800501e-15
210.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
212.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
214.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
216.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
218.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
220.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
222.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
224.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
226.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
228.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
230.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
232.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
234.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
236.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
238.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
240.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
242.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
244.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
246.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
248.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
250.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
252.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
254.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
256.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
258.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
260.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
262.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
264.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
266.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
268.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
270.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
272.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
274.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
276.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
278.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
280.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
282.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
284.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
286.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
288.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.050716828981884e-15,1.7763568394002505e-15,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,3.552713678800501e-15
